Time,CO,rh,MOS,vocs
6.46E-01,4.41E-01,6.97E-01,6.66E-01,0.596053836
6.46E-01,4.22E-01,6.37E-01,6.46E-01,0.591313057
6.46E-01,4.13E-01,5.40E-01,6.22E-01,0.591394029
6.47E-01,4.24E-01,4.94E-01,6.23E-01,0.591278133
6.47E-01,4.27E-01,5.13E-01,6.33E-01,0.606156756
6.47E-01,4.47E-01,6.62E-01,6.32E-01,0.599380063
6.48E-01,4.52E-01,7.07E-01,6.41E-01,0.585196509
6.48E-01,4.61E-01,7.03E-01,6.63E-01,0.613142217
6.48E-01,4.49E-01,6.81E-01,6.71E-01,0.61300685
6.49E-01,4.38E-01,6.61E-01,6.71E-01,0.610997361
6.49E-01,4.25E-01,6.52E-01,6.72E-01,0.620627268
6.50E-01,4.22E-01,6.30E-01,6.65E-01,0.619845354
6.50E-01,4.17E-01,5.26E-01,6.56E-01,0.633224741
6.50E-01,4.04E-01,4.39E-01,6.48E-01,0.635514544
6.51E-01,4.29E-01,5.25E-01,6.46E-01,0.598592122
6.51E-01,4.34E-01,6.36E-01,6.45E-01,0.593222411
6.51E-01,4.44E-01,6.48E-01,6.61E-01,0.593139583
6.52E-01,4.52E-01,6.29E-01,6.76E-01,0.602041816
6.52E-01,4.41E-01,6.11E-01,6.69E-01,0.608596915
6.52E-01,4.37E-01,5.98E-01,6.64E-01,0.62069557
6.53E-01,4.40E-01,5.86E-01,6.55E-01,0.598428476
6.53E-01,4.25E-01,5.45E-01,6.45E-01,0.613336304
6.53E-01,4.07E-01,4.54E-01,6.30E-01,0.642615129
6.54E-01,3.99E-01,4.02E-01,6.15E-01,0.631603582
6.54E-01,4.10E-01,5.67E-01,5.97E-01,0.614825187
6.54E-01,4.45E-01,6.43E-01,6.05E-01,0.590300122
6.55E-01,4.50E-01,6.36E-01,6.21E-01,0.60800368
6.55E-01,4.41E-01,6.16E-01,6.28E-01,0.620287306
6.55E-01,4.16E-01,6.00E-01,6.26E-01,0.602494275
6.56E-01,4.03E-01,5.82E-01,6.14E-01,0.673620964
6.56E-01,3.87E-01,5.53E-01,6.09E-01,0.640576126
6.56E-01,3.82E-01,5.16E-01,5.89E-01,0.590742383
6.57E-01,3.80E-01,4.84E-01,5.87E-01,0.609092334
6.57E-01,3.95E-01,4.63E-01,5.97E-01,0.63240744
6.58E-01,4.03E-01,5.50E-01,6.10E-01,0.607266425
6.58E-01,4.10E-01,5.94E-01,6.36E-01,0.591083891
6.58E-01,4.01E-01,5.93E-01,6.54E-01,0.558706306
6.59E-01,4.00E-01,5.86E-01,6.67E-01,0.614530037
6.59E-01,3.98E-01,5.77E-01,6.74E-01,0.595368194
6.59E-01,3.88E-01,5.66E-01,6.66E-01,0.608867649
6.60E-01,3.56E-01,5.39E-01,6.55E-01,0.601159458
6.60E-01,3.61E-01,5.31E-01,6.54E-01,0.554210608
6.60E-01,3.63E-01,5.17E-01,6.59E-01,0.573566385
6.61E-01,3.73E-01,5.49E-01,6.65E-01,0.59574138
6.61E-01,3.77E-01,5.70E-01,6.73E-01,0.570014238
6.61E-01,3.63E-01,5.69E-01,7.05E-01,0.581323561
6.62E-01,3.72E-01,5.65E-01,7.14E-01,0.576790931
6.62E-01,3.71E-01,5.61E-01,7.13E-01,0.587415693
6.62E-01,3.53E-01,5.60E-01,7.12E-01,0.577203059
6.63E-01,3.62E-01,5.43E-01,7.12E-01,0.591204578
6.63E-01,3.57E-01,4.84E-01,6.97E-01,0.572148895
6.63E-01,3.41E-01,4.42E-01,6.78E-01,0.583334595
6.64E-01,3.43E-01,5.48E-01,6.61E-01,0.564193768
6.64E-01,3.49E-01,6.17E-01,6.73E-01,0.586380043
6.64E-01,3.57E-01,6.12E-01,7.02E-01,0.585191101
6.65E-01,3.46E-01,6.03E-01,7.11E-01,0.574504218
6.65E-01,3.38E-01,5.97E-01,7.08E-01,0.560413691
6.66E-01,3.29E-01,5.95E-01,7.12E-01,0.585909967
6.66E-01,3.25E-01,5.79E-01,7.04E-01,0.5802295
6.66E-01,3.09E-01,4.86E-01,6.63E-01,0.598877381
6.67E-01,2.93E-01,4.13E-01,6.41E-01,0.585567378
6.67E-01,3.08E-01,4.54E-01,6.39E-01,0.563554947
6.67E-01,3.25E-01,6.27E-01,6.47E-01,0.578704767
6.68E-01,3.26E-01,6.70E-01,6.61E-01,0.579095569
6.68E-01,3.14E-01,6.61E-01,6.75E-01,0.53465518
6.68E-01,3.20E-01,6.50E-01,6.88E-01,0.557988212
6.69E-01,3.19E-01,6.44E-01,6.87E-01,0.575926499
6.69E-01,3.27E-01,6.37E-01,6.93E-01,0.574904602
6.69E-01,3.28E-01,6.36E-01,6.85E-01,0.613324251
6.70E-01,3.28E-01,5.93E-01,6.76E-01,0.617078212
6.70E-01,3.27E-01,6.07E-01,6.58E-01,0.58242195
6.70E-01,3.38E-01,6.58E-01,6.45E-01,0.55301703
6.71E-01,3.45E-01,6.95E-01,6.26E-01,0.599403242
6.71E-01,3.35E-01,7.06E-01,6.23E-01,0.552819233
6.71E-01,3.34E-01,7.05E-01,6.19E-01,0.543614743
6.72E-01,3.18E-01,7.03E-01,6.07E-01,0.550243707
6.72E-01,3.04E-01,6.95E-01,5.99E-01,0.569637034
6.72E-01,3.18E-01,6.46E-01,6.02E-01,0.570889951
6.73E-01,3.29E-01,5.83E-01,6.13E-01,0.556794943
6.73E-01,3.18E-01,5.57E-01,6.16E-01,0.547108324
6.73E-01,3.21E-01,5.78E-01,6.31E-01,0.521694102
6.74E-01,3.33E-01,6.38E-01,6.37E-01,0.555254139
6.74E-01,3.37E-01,6.73E-01,6.44E-01,0.539827404
6.75E-01,3.40E-01,7.30E-01,6.49E-01,0.544092854
6.75E-01,3.42E-01,7.59E-01,6.64E-01,0.531673708
6.75E-01,3.66E-01,7.62E-01,6.83E-01,0.585875508
6.76E-01,3.54E-01,6.46E-01,7.28E-01,0.540581658
6.76E-01,3.60E-01,5.41E-01,7.78E-01,0.543180827
6.76E-01,3.70E-01,5.36E-01,8.23E-01,0.534913243
6.77E-01,3.96E-01,5.39E-01,8.54E-01,0.533502861
6.77E-01,4.00E-01,6.61E-01,8.69E-01,0.507106457
6.77E-01,4.24E-01,7.86E-01,8.88E-01,0.545683107
