,Start Time,End Time,Isop,Isop Error,RH,RH Stderr,Pid3 Voltage,Pid4 Voltage,Pid5 Voltage,Pid3 Stderr,Pid4 Stderr,Pid5 Stderr
0,2015-09-04 09:22:05.116800000,2015-09-04 09:37:05.231999999,-0.00138134593133,1.19579588362e-05,39.7300405048,0.0745268271984,0.0549049155716,0.0536929483574,0.0560965626193,2.02652336146e-06,1.92328030656e-06,2.79593786536e-06
1,2015-09-04 09:52:55.286400000,2015-09-04 10:09:35.452800000,-0.0013474939608,1.1689849092e-05,94.544297966,0.0544755525501,0.0564275587812,0.0546362144156,0.0576744832468,4.76043655325e-06,2.3243193094e-06,4.01102650098e-06
2,2015-09-04 10:15:25.459200000,2015-09-04 10:32:05.625600000,-0.00137869057889,1.17471532059e-05,33.5427672218,0.0382517658266,0.0550174365035,0.0536486626773,0.0557460041558,1.36635414045e-06,1.92665631986e-06,2.4574077338e-06
3,2015-09-04 10:40:25.708800000,2015-09-04 10:57:05.875200000,-0.00136711119377,1.18507706496e-05,45.1313640278,0.00432318923367,0.0551410945155,0.0536562632068,0.0559973157642,8.96578226411e-07,6.66484195479e-07,8.86143130872e-07
4,2015-09-04 11:00:25.891200000,2015-09-04 11:17:06.057600000,-0.00136901381215,1.18257310872e-05,45.1287080554,0.00440400926298,0.055140688991,0.0536563164535,0.0559971485514,9.00008095025e-07,6.68940872439e-07,8.88573589735e-07
5,2015-09-04 11:25:26.140800000,2015-09-04 11:42:06.220800000,-0.00137024092703,1.22567068964e-05,88.0300068979,0.0353028146166,0.0561667958541,0.0544554210689,0.0573430509291,2.51091096716e-06,1.951976811e-06,1.68336770612e-06
6,2015-09-04 11:32:56.198400000,2015-09-04 11:49:36.278400000,-0.00136895476627,1.2143678961e-05,87.8628133655,0.0391927619532,0.0561745887113,0.0544653888911,0.0573372259041,2.39975570548e-06,1.82654147413e-06,1.65841659453e-06
7,2015-09-04 11:47:56.313600000,2015-09-04 12:04:36.393599999,-0.00137654904317,1.23312676353e-05,89.2766883848,0.0253331098908,0.0561751514585,0.0544653968831,0.057398817033,2.39362589494e-06,1.8247009448e-06,1.71291692195e-06
8,2015-09-04 12:02:56.428800000,2015-09-04 12:19:36.508800000,-0.00139555597852,1.23150437681e-05,60.5862137132,0.323555662945,0.0551642424376,0.0539560965235,0.0563407469131,6.59281249865e-06,3.81248684967e-06,1.01485118829e-05
9,2015-09-04 13:35:26.937600000,2015-09-04 13:52:07.017600000,-0.00138962020734,1.25986998302e-05,3.95650691284,0.00368720969847,0.0549885083516,0.0531959055744,0.0548398697203,1.05917498391e-06,6.39362996781e-07,8.00859219983e-07
10,2015-09-04 13:50:27.052800000,2015-09-04 14:07:07.305600000,-0.00140610391978,1.2335248165e-05,3.71716627789,0.00640551991929,0.0549885360939,0.0532171404595,0.054929433966,1.05951011856e-06,7.22607857052e-07,8.75468048218e-07
11,2015-09-04 14:58:42.672000000,2015-09-04 15:15:22.752000000,-0.00138648578443,1.1637132853e-05,97.8955574775,0.0122260261886,0.0568836282517,0.0551287395604,0.0578600561039,2.55818417936e-06,1.64200699178e-06,1.24603938728e-06
12,2015-09-04 15:18:42.768000000,2015-09-04 15:35:22.934400000,-0.00140041009455,1.23500609807e-05,75.8499425383,0.0343785929132,0.0556467967932,0.0545225058142,0.0568062971029,1.59236426644e-06,1.55856145748e-06,2.34091740429e-06
13,2015-09-04 16:30:57.283200000,2015-09-04 16:32:37.248000000,-0.00138808040604,3.87070560401e-05,27.6280829795,0.0095337075809,0.0549856201199,0.0537751254745,0.0554270368531,9.46052810822e-07,9.16342492541e-07,9.28020918171e-07
14,2015-09-04 16:38:42.892799999,2015-09-04 16:40:22.944000000,-0.00139175697487,3.89701057824e-05,58.1468246126,0.00538687275335,0.0551714014785,0.0540354884926,0.0562359099811,9.43462217927e-07,9.35487843824e-07,9.29464716089e-07
15,2015-09-07 10:05:44.592000000,2015-09-07 10:07:24.556800000,-0.00138868307862,3.88287262184e-05,29.0480900882,0.00203668876954,0.0560195581419,0.0535947444145,0.0557300664535,2.41164247005e-06,9.40200979963e-07,2.12248774717e-06
16,2015-09-07 10:26:00.153600000,2015-09-07 10:27:40.204800000,-0.00138642163508,3.76701693582e-05,48.3431865155,0.00259352019984,0.0558986227506,0.0536006354645,0.0559261907393,2.15272551771e-06,8.9428767774e-07,1.90872557015e-06
17,2015-09-07 10:42:00.576000000,2015-09-07 10:43:40.627200000,-0.00141942331517,3.86408955963e-05,20.6114238585,0.00266695201751,0.0553405674525,0.0533560458772,0.0552636741159,2.24656040479e-06,8.79532850521e-07,1.81177287282e-06
18,2015-09-07 10:52:15.744000000,2015-09-07 10:53:55.708800000,-0.00134095693421,3.81743159576e-05,37.3267018096,0.00240818091204,0.0555889219303,0.0534675998701,0.0557143610889,2.18052620689e-06,9.10305592431e-07,2.08282970435e-06
0,2015-09-11 10:04:43.507200000,2015-09-11 10:05:13.488000000,0.518866937209,4.66781726344e-05,1.39081175833,0.00490228185622,0.0570807269435,0.0533938857143,0.055570464186,3.57049584968e-06,2.35061048391e-06,3.83558999976e-06
1,2015-09-11 10:23:48.912000000,2015-09-11 10:25:29.136000000,0.520154485096,5.26149902293e-05,24.1094305191,0.00322834091221,0.0575935802142,0.0536227085188,0.0561111686161,2.26977841958e-06,9.07044585678e-07,2.17651664321e-06
