MOS,Sensitivity,Intercept,R2 value
MOS1,20.1,2.24,0.960015514735
MOS2,16.7,2.09,0.738520216863
MOSar1,10.5,1.49,0.853253733575
MOSar2,6.65,1.72,0.729678759092
MOSar3,14.8,1.19,0.958348556583
MOSar4,10.2,1.51,0.837501434265
MOSar5,6.44,1.73,0.698026352447
MOSar6,16.2,1.01,0.974505426728
MOSar7,11.5,1.4,0.888512388459
MOSar8,9.11,1.58,0.790447281455
