MOS,Sensitivity,Intercept,R2 value
MOS1,-1.14,1.05,-0.745134618078
MOS2,-1.27,1.04,-0.750989153024
MOSar1,-0.354,0.601,-0.66669218483
MOSar2,-0.41,0.648,-0.684312328764
MOSar3,-0.353,0.484,-0.775136007768
MOSar4,-0.356,0.575,-0.738131817659
MOSar5,-0.365,0.646,-0.761917861838
MOSar6,-0.383,0.679,-0.681392925359
MOSar7,-0.414,0.653,-0.758896793917
MOSar8,-0.489,0.526,-0.74033992735
