MOS,Sensitivity,Intercept,R2 value
MOS1,-5.34e-05,0.854,-0.458664376818
MOS2,-6.2e-05,0.826,-0.723095171169
MOSar1,-9.51e-05,0.487,-0.754307907704
MOSar2,-6.37e-05,0.508,-0.699388985134
MOSar3,-5.23e-05,0.373,-0.790050128424
MOSar4,-5.04e-05,0.459,-0.732547311463
MOSar5,-7.14e-05,0.515,-0.874681761803
MOSar6,-4.09e-05,0.579,-0.481428299053
MOSar7,-0.000101,0.517,-0.910830902655
MOSar8,-9.52e-05,0.398,-0.780892486802
