,Time,CO,CO_square,rh,rh_square,MOS,MOS_square,vocs
60,54780,0.554510433,0.307481821,36.19327058,1309.952835,0.729239608,0.531790406,275.094
61,54810,0.553060131,0.305875508,36.13040546,1305.406199,0.728961585,0.531384992,264.22255
62,54840,0.551000038,0.303601042,36.06054131,1300.36264,0.727163485,0.528766733,265.3655
63,54870,0.551564915,0.304223856,35.88947717,1288.054571,0.726617815,0.52797345,268.5003
64,54900,0.552543292,0.30530409,35.89890302,1288.731238,0.7240445,0.524240438,260.77285
65,54930,0.552120215,0.304836732,35.85504863,1285.584512,0.723125038,0.522909821,266.0833
66,54960,0.552846383,0.305639124,35.83050267,1283.824922,0.722848975,0.522510641,267.3173
67,54990,0.554144262,0.307075863,35.97363498,1294.102414,0.722822154,0.522471866,266.2585
68,55020,0.554848585,0.307856952,36.01799158,1297.295718,0.724768069,0.525288754,273.04345
69,55050,0.554620215,0.307603583,35.98104402,1294.635529,0.725640669,0.526554381,258.06875
70,55080,0.556242808,0.309406061,35.94393633,1291.966559,0.726299292,0.527510662,265.6832
71,55110,0.554406275,0.307366318,35.8991023,1288.745546,0.725822942,0.526818943,259.14515
72,55140,0.554841158,0.307848711,35.8642211,1286.242355,0.723266967,0.523115105,266.7957
73,55170,0.554088969,0.307014586,35.74188777,1277.482542,0.721597392,0.520702797,262.31175
74,55200,0.553000023,0.305809026,35.40546991,1253.547299,0.719647869,0.517893056,268.52425
75,55230,0.552024077,0.304730582,35.10290752,1232.214116,0.717358192,0.514602776,268.83775
76,55260,0.553211562,0.306043032,35.36701024,1250.825413,0.716775277,0.513766798,255.40015
77,55290,0.556838567,0.310069189,35.98262091,1294.749008,0.716256525,0.51302341,268.9629
78,55320,0.556988,0.310235632,36.198792,1310.352542,0.7180349,0.515574118,245.75325
79,55350,0.557103369,0.310364164,36.16045598,1307.578577,0.720168308,0.518642391,243.35565
80,55380,0.555550508,0.308636367,36.10619316,1303.657184,0.720623838,0.519298717,256.6183
81,55410,0.555810123,0.308924893,36.05846537,1300.212925,0.720983208,0.519816786,256.9146
82,55440,0.555377625,0.308444306,35.9826365,1294.75013,0.720027392,0.518439445,255.37515
83,55470,0.553134638,0.305957928,35.58263889,1266.124191,0.719040885,0.517019794,249.05265
84,55500,0.549718775,0.302190732,35.0453773,1228.17847,0.7173568,0.514600779,248.49155
85,55530,0.549875015,0.302362533,34.60502175,1197.50753,0.717849785,0.515308313,243.23985
86,55560,0.552036092,0.304743847,35.1411148,1234.897949,0.716371438,0.513188038,241.87655
87,55590,0.5536082,0.306482039,35.96862917,1293.742284,0.716213985,0.512962472,238.76575
88,55620,0.55559635,0.308687304,36.20934568,1311.116714,0.718276083,0.515920532,239.70475
89,55650,0.555528892,0.30861235,36.10019482,1303.224066,0.719473569,0.517642217,246.43425
90,55680,0.554451969,0.307416986,35.96918178,1293.782038,0.719945931,0.518322143,239.8842
91,55710,0.555769254,0.308879464,35.86369207,1286.204409,0.721631046,0.520751367,240.3554
92,55740,0.556677908,0.309890293,35.77127646,1279.58422,0.721857038,0.521077584,242.41315
93,55770,0.554382238,0.307339666,35.66720177,1272.149282,0.719326954,0.517431267,237.4406
94,55800,0.55220055,0.304925447,35.38296551,1251.954248,0.717023467,0.514122652,235.90665
95,55830,0.551091377,0.303701706,34.93046948,1220.137698,0.714433923,0.51041583,235.93285
96,55860,0.5524255,0.305173933,34.71273978,1204.974303,0.714520492,0.510539534,235.89535
97,55890,0.552812523,0.305601686,34.8019804,1211.17784,0.715563746,0.512031475,240.70955
98,55920,0.555161062,0.308203804,35.50074447,1260.302858,0.715513262,0.511959227,238.51685
99,55950,0.5557969,0.308910194,35.7137225,1275.469975,0.716453167,0.51330514,233.92755
100,55980,0.556796892,0.310022779,35.69381836,1274.048669,0.719024767,0.516996615,242.9698
101,56010,0.555437523,0.308510842,35.59257782,1266.831596,0.719883446,0.518232176,242.926
102,56040,0.554038485,0.306958642,35.49976787,1260.233519,0.719864215,0.518204489,242.2758
103,56070,0.552560123,0.30532269,35.45322582,1256.931221,0.720016862,0.518424281,245.3917
104,56100,0.552144254,0.304863277,35.35062168,1249.666453,0.719245223,0.517313691,245.1387
105,56130,0.551494817,0.304146533,34.86474517,1215.550456,0.718220092,0.5158401,249.4678
106,56160,0.549971185,0.302468304,34.45191939,1186.93475,0.717311315,0.514535523,250.2087
107,56190,0.552949538,0.305753192,34.85634397,1214.964715,0.717075754,0.514197637,238.2619
108,56220,0.553620215,0.306495343,35.37905747,1251.677707,0.717010862,0.514104576,236.52445
109,56250,0.554850962,0.30785959,35.43667419,1255.757877,0.718768062,0.516627526,236.49765
110,56280,0.555752625,0.30886098,35.34572603,1249.320349,0.720457058,0.519058373,239.3781
111,56310,0.554435123,0.307398306,35.26379549,1243.535273,0.719649077,0.517894794,241.4991
112,56340,0.553988015,0.306902721,35.20076718,1239.09401,0.719115408,0.51712697,245.4138
113,56370,0.554276083,0.307221977,35.14428962,1235.121093,0.718078167,0.515636253,238.20895
114,56400,0.552473577,0.305227053,34.95334425,1221.736274,0.716944746,0.514009769,243.0326
115,56430,0.550326931,0.302859731,34.52394234,1191.902594,0.715274085,0.511617016,252.5062
116,56460,0.549432308,0.301875861,34.27914511,1175.059789,0.71357035,0.509182644,248.94325
117,56490,0.550658677,0.303224978,35.05596109,1228.920408,0.711564946,0.506324673,243.51435
118,56520,0.554913469,0.307928958,35.4116071,1253.981917,0.712431523,0.507558675,235.5789
119,56550,0.5555433,0.308628358,35.38043205,1251.774972,0.714308923,0.510237238,241.30715
120,56580,0.554401469,0.307360989,35.28530016,1245.052407,0.714997638,0.511221623,245.2817
121,56610,0.551478385,0.304128409,35.21272548,1239.936035,0.714817354,0.510963849,239.5245
122,56640,0.549825542,0.302308126,35.12854194,1234.014459,0.713453167,0.509015421,262.5386
123,56670,0.547990385,0.300293462,34.98962796,1224.274065,0.712890654,0.508213084,251.84645
124,56700,0.547334169,0.299574693,34.81577926,1212.138485,0.710652677,0.505027227,235.722
125,56730,0.547103377,0.299322105,34.66801917,1201.871553,0.710407477,0.504678783,241.6594
126,56760,0.548850992,0.301237412,34.56766809,1194.923677,0.711627431,0.5064136,249.20335
127,56790,0.549911475,0.30240263,34.9780463,1223.463723,0.712992233,0.508357925,241.0686
128,56820,0.55070055,0.303271096,35.18348585,1237.877677,0.715903683,0.512518084,235.8325
129,56850,0.549581746,0.302040096,35.17886835,1237.552778,0.718000023,0.515524033,225.35625
130,56880,0.549492815,0.301942354,35.14453948,1235.138655,0.719429123,0.517578263,243.41885
131,56910,0.549283662,0.301712541,35.10187393,1232.141554,0.720149062,0.518614671,237.21875
132,56940,0.548072154,0.300383086,35.04971661,1228.482634,0.719336554,0.517445078,241.5867
133,56970,0.54420835,0.296162728,34.92610656,1219.83292,0.718056033,0.515604467,239.0926
134,57000,0.544846185,0.296857365,34.88886923,1217.233196,0.717930331,0.51542396,223.9016
135,57030,0.545007238,0.29703289,34.82140544,1212.530277,0.718509646,0.516256112,230.16445
136,57060,0.546269254,0.298410098,34.97139716,1222.99862,0.719198338,0.51724625,237.3395
137,57090,0.546752431,0.298938221,35.07189281,1230.037665,0.720098585,0.518541972,229.0151
138,57120,0.545041708,0.297070464,35.0656834,1229.602152,0.723649767,0.523668985,232.6744
139,57150,0.546117831,0.298244685,35.04852603,1228.399177,0.724722415,0.525222579,231.2078
140,57180,0.545995215,0.298110775,35.02964357,1227.075929,0.724585362,0.525023946,234.6456
141,57210,0.543851592,0.295774554,35.02271272,1226.590406,0.724472708,0.524860705,231.34115
142,57240,0.544899077,0.296915004,34.94523842,1221.169689,0.724438746,0.524811497,235.87155
143,57270,0.544360608,0.296328471,34.66721234,1201.815611,0.722754838,0.522374557,229.7058
144,57300,0.542406283,0.294204576,34.4701157,1188.188876,0.720622417,0.519296667,233.3251
145,57330,0.542699523,0.294522772,34.96721651,1222.706231,0.718722392,0.516561877,227.1318
146,57360,0.543341354,0.295219827,35.2899338,1245.379427,0.720075762,0.518509102,234.3105
147,57390,0.544341377,0.296307535,35.26734766,1243.785811,0.723378631,0.523276643,233.9258
148,57420,0.542966362,0.29481247,35.22669539,1240.920068,0.724385862,0.524734876,230.4679
149,57450,0.542026075,0.293792266,35.1989149,1238.96361,0.724020867,0.524206215,225.9087
150,57480,0.541002431,0.29268363,35.18855802,1238.234616,0.724498831,0.524898556,234.1584
151,57510,0.540473592,0.292111704,35.11408804,1232.999179,0.723544515,0.523516666,232.3204
152,57540,0.538603385,0.290093606,34.67608511,1202.430879,0.719009631,0.516974849,238.3542
153,57570,0.536656262,0.287999943,34.33136677,1178.642745,0.716472377,0.513332667,234.04755
154,57600,0.538480777,0.289961547,34.5258175,1192.032074,0.716338969,0.513141519,226.9251
155,57630,0.54052085,0.292162789,35.33709877,1248.71055,0.717161475,0.514320581,231.82705
156,57660,0.54062505,0.292275445,35.53775421,1262.931975,0.718803425,0.516678364,231.9535
157,57690,0.539187515,0.290723177,35.49715273,1260.047852,0.720336577,0.518884784,217.57415
158,57720,0.539870208,0.291459841,35.44383505,1256.265443,0.721780062,0.520966457,225.1239
159,57750,0.539725992,0.291304147,35.41795467,1254.431513,0.721692331,0.52083982,230.9281
160,57780,0.540766854,0.29242879,35.38602584,1252.170825,0.722322169,0.521749316,230.59745
161,57810,0.54082555,0.292492276,35.38188319,1251.877658,0.721458375,0.520502187,243.0287
162,57840,0.540887046,0.292558797,35.17858062,1237.532535,0.720435131,0.519026778,244.24335
163,57870,0.540757246,0.292418399,35.24501752,1242.21126,0.718467554,0.516195626,233.0298
164,57900,0.542091385,0.293863069,35.48425606,1259.132428,0.716903885,0.51395118,223.5154
165,57930,0.542879846,0.294718527,35.65548788,1271.313816,0.714805323,0.51094665,238.52435
166,57960,0.5417318,0.293473343,35.70968184,1275.181377,0.714463567,0.510458188,223.4514
167,57990,0.541545677,0.29327172,35.70525804,1274.865452,0.714084177,0.509916212,220.47315
168,58020,0.539596177,0.291164034,35.69588187,1274.195982,0.712751238,0.508014328,222.61805
169,58050,0.537920692,0.289358671,35.65953317,1271.602306,0.711848615,0.506728451,228.89305
170,58080,0.5396146,0.291183917,35.42623288,1255.017976,0.712100292,0.507086825,229.29845
171,58110,0.540983192,0.292662814,35.12912921,1234.055719,0.713323354,0.508830207,224.7378
172,58140,0.53965105,0.291223256,35.00748474,1225.523988,0.713668,0.509322014,221.60355
173,58170,0.540009662,0.291610435,35.10809431,1232.578286,0.715436323,0.511849132,213.3804
174,58200,0.541415869,0.293131143,35.38735536,1252.264919,0.716107008,0.512809246,224.23925
175,58230,0.541937531,0.293696287,35.55184661,1263.933798,0.716841385,0.513861571,219.2477
176,58260,0.542226,0.294009035,35.82128337,1283.164342,0.717424315,0.514697648,220.62785
177,58290,0.542494817,0.294300626,35.95911607,1293.058029,0.719104192,0.517110838,216.60945
178,58320,0.545394254,0.297454892,35.97202019,1293.986237,0.721242823,0.52019121,234.14725
179,58350,0.5439952,0.295930778,35.42739485,1255.100306,0.726204362,0.527372775,219.49175
180,58380,0.544653869,0.296647837,34.93168434,1220.222571,0.731895469,0.535670978,220.33275
181,58410,0.545848577,0.297950669,34.90927729,1218.657641,0.736879854,0.542991919,217.65765
182,58440,0.549040869,0.301445876,34.92429317,1219.706253,0.740394262,0.548183663,217.2013
183,58470,0.549526083,0.301978916,35.4993476,1260.20368,0.742050817,0.550639415,208.66035
184,58500,0.552343775,0.305083646,36.08298468,1301.981783,0.744147175,0.553755018,221.1424
185,58530,0.553812508,0.306708294,36.3721028,1322.929862,0.745509669,0.555784667,226.04395
186,58560,0.552884654,0.30568144,36.48409803,1331.089409,0.745841369,0.556279348,219.8116
187,58590,0.553307723,0.306149436,36.44477563,1328.221671,0.744496438,0.554274947,238.99225
188,58620,0.551826946,0.304512979,36.36886472,1322.694321,0.744490423,0.55426599,228.512
189,58650,0.552143267,0.304862187,36.27621022,1315.963428,0.74381905,0.553266779,227.7109
190,58680,0.550752431,0.30332824,36.13171014,1305.500478,0.7434063,0.552652927,228.32005
191,58710,0.551454346,0.304101896,36.06931647,1300.995591,0.744857,0.55481195,239.2808
192,58740,0.551591377,0.304253047,35.90772192,1289.364494,0.745941138,0.556428182,256.14715
193,58770,0.553088954,0.305907391,35.87814693,1287.241427,0.745896677,0.556361853,266.7008
194,58800,0.55288545,0.305682321,35.72151517,1276.026646,0.744246133,0.553902307,276.1931
195,58830,0.554615392,0.307598233,35.89119785,1288.178083,0.744509662,0.554294636,288.9968
196,58860,0.554877446,0.30788898,36.27380341,1315.788814,0.744657508,0.554514804,285.9829
197,58890,0.556084154,0.309229586,36.38093047,1323.572102,0.744709177,0.554591758,295.0241
198,58920,0.557473992,0.310777251,36.37959286,1323.474777,0.746384133,0.557089274,305.2246
199,58950,0.557788492,0.311128002,36.36644273,1322.518157,0.747601008,0.558907267,294.30035
200,58980,0.558697942,0.31214339,36.34962432,1321.295188,0.7486667,0.560501828,293.4699
201,59010,0.559233185,0.312741755,36.12192669,1304.793588,0.748807731,0.560713018,292.32065
202,59040,0.5577284,0.311060968,35.93859871,1291.582877,0.747611823,0.558923438,294.43405
203,59070,0.558887054,0.312354739,35.87236785,1286.826775,0.746425515,0.55715105,303.45755
204,59100,0.558872615,0.3123386,35.96981678,1293.827719,0.745536108,0.555824088,308.6572
205,59130,0.558819738,0.3122795,36.32369501,1319.410819,0.744534892,0.554332206,316.6216
206,59160,0.561138033,0.314875892,36.43719776,1327.66938,0.74406905,0.553638751,307.37225
207,59190,0.562334162,0.316219709,36.42614099,1326.863748,0.744869008,0.554829839,312.53615
208,59220,0.564430308,0.318581572,36.39979017,1324.944724,0.744769262,0.554681253,319.03305
209,59250,0.563564915,0.317605414,36.36908789,1322.710554,0.742790892,0.55173831,328.42715
210,59280,0.562091369,0.315946707,36.09786984,1303.056207,0.741897854,0.550412426,308.9281
211,59310,0.5606068,0.314279984,35.72386398,1276.194458,0.740416692,0.548216877,315.08615
212,59340,0.560807325,0.314504856,35.61427784,1268.376786,0.739334683,0.546615774,316.1728
213,59370,0.563192331,0.317185601,36.0016841,1296.121258,0.738251231,0.54501488,316.2062
214,59400,0.5654207,0.319700568,36.5071473,1332.771804,0.736938738,0.543078704,325.5365
215,59430,0.565911092,0.320255364,36.59342289,1339.078599,0.737515654,0.54392934,315.12
216,59460,0.568348577,0.323020105,36.57289702,1337.576796,0.739043315,0.546185022,312.64155
217,59490,0.568174508,0.322822272,36.53911766,1335.107119,0.739488317,0.54684297,321.72135
218,59520,0.569151454,0.323933377,36.52571735,1334.128028,0.740789692,0.548769368,316.9112
219,59550,0.569653892,0.324505557,36.47467599,1330.401989,0.741466377,0.549772388,310.0719
220,59580,0.568627415,0.323337138,36.10866214,1303.835482,0.739759654,0.547244345,304.56975
221,59610,0.567903869,0.322514805,35.76730163,1279.299866,0.737881046,0.544468438,310.7683
222,59640,0.568942725,0.323695824,35.89957706,1288.779633,0.736537808,0.542487943,308.0672
223,59670,0.571718769,0.326862351,36.5610387,1336.709551,0.736070938,0.541800426,301.42865
224,59700,0.574673108,0.330249181,36.82641659,1356.184959,0.738126231,0.544830333,301.18575
225,59730,0.576335958,0.332163137,36.81863278,1355.61172,0.740152383,0.547825551,306.543
226,59760,0.577004831,0.332934575,36.18899989,1309.643713,0.734086569,0.538883091,299.65465
227,59790,0.577348577,0.333331379,36.08358526,1302.025125,0.734413508,0.5393632,284.88875
228,59820,0.578487992,0.334648357,36.02825992,1298.035513,0.7360998,0.541842916,302.84115
229,59850,0.578377633,0.334520687,35.93649504,1291.431676,0.737001342,0.543170978,293.0638
230,59880,0.5800457,0.336453014,35.6453828,1270.593315,0.737161085,0.543406465,287.7407
231,59910,0.578338969,0.334475963,35.2701897,1243.986281,0.736016846,0.541720798,288.90075
232,59940,0.577956754,0.334034009,35.23970087,1241.836518,0.735204369,0.540525465,300.8358
233,59970,0.581567354,0.338220587,36.04484126,1299.230581,0.734750023,0.539857596,295.1817
234,60000,0.582861992,0.339728101,36.43293111,1327.358469,0.735793,0.541391339,296.8275
235,60030,0.583750008,0.340764071,36.42415977,1326.719415,0.738693538,0.545668144,291.39685
236,60060,0.585483192,0.342790568,36.35848101,1321.939141,0.740151485,0.54782422,291.86165
237,60090,0.586403877,0.343869507,36.29178596,1317.093728,0.7396575,0.547093217,289.9492
238,60120,0.587341158,0.344969636,36.24519863,1313.714423,0.739459667,0.546800599,291.5255
239,60150,0.5881683,0.345941949,36.21408801,1311.46017,0.738600992,0.545531426,297.3793
240,60180,0.587989608,0.34573178,36.06288506,1300.531679,0.73714325,0.543380171,303.0054
241,60210,0.587031277,0.34460572,35.86066988,1285.987644,0.734138262,0.538958987,302.85065
242,60240,0.586151454,0.343573527,35.70473637,1274.828199,0.731661077,0.535327931,305.2134
243,60270,0.587793285,0.345500945,36.06344297,1300.571919,0.729744015,0.532526328,298.5656
244,60300,0.588113008,0.34587691,36.3871556,1324.025093,0.728284892,0.530398884,300.4461
245,60330,0.586742217,0.344266429,36.4250193,1326.782031,0.728287783,0.530403095,289.06115
246,60360,0.587096162,0.344681903,36.40280296,1325.164063,0.729143069,0.531649615,307.7585
247,60390,0.587685131,0.345373813,36.36308178,1322.273717,0.728699562,0.531003051,300.3238
248,60420,0.586687531,0.344202259,36.31062673,1318.461614,0.728997646,0.531437568,295.50345
249,60450,0.585875023,0.343249543,36.23448827,1312.93814,0.729052931,0.531518176,303.4397
250,60480,0.585391846,0.342683614,35.93976511,1291.666716,0.729020477,0.531470856,292.41055
251,60510,0.583869833,0.340903982,35.59202422,1266.792188,0.727243525,0.528883145,294.82005
252,60540,0.582619825,0.33944586,35.70529095,1274.867802,0.725604183,0.526501431,304.25325
253,60570,0.584649062,0.341814525,36.28870913,1316.87041,0.724935146,0.525530966,289.71575
254,60600,0.585334177,0.342616099,36.42133495,1326.513639,0.724872623,0.52544032,301.6667
255,60630,0.585613015,0.342942604,36.37433995,1323.092607,0.725359423,0.526146293,275.7896
256,60660,0.586040885,0.343443918,36.33088936,1319.933522,0.725677908,0.526608426,293.8523
257,60690,0.585510417,0.342822448,36.28484888,1316.590258,0.726674517,0.528055853,293.62875
258,60720,0.584968762,0.342188452,36.22896093,1312.53761,0.726135831,0.527273245,274.13005
259,60750,0.584891862,0.34209849,35.97669298,1294.322438,0.726994008,0.528520287,287.56195
260,60780,0.582627431,0.339454723,35.61239325,1268.242553,0.726070938,0.527179008,293.39025
261,60810,0.581716377,0.338393943,35.32648953,1247.960862,0.726888262,0.528366545,291.7173
262,60840,0.585286483,0.342560268,35.7868902,1280.70151,0.727454467,0.529190001,287.139
263,60870,0.588776462,0.346657722,36.36508166,1322.419164,0.729604592,0.532322861,302.7056
264,60900,0.590103377,0.348221995,36.41623611,1326.142252,0.732109415,0.535984196,294.61435
265,60930,0.593139454,0.351814412,36.34804442,1321.180333,0.734978408,0.54019326,282.95365
266,60960,0.594940133,0.353953762,36.29749498,1317.508142,0.735585983,0.541086739,289.44625
267,60990,0.594302908,0.353195946,36.26362533,1315.050522,0.7355301,0.541004528,286.1213
268,61020,0.592656283,0.35124147,36.22586009,1312.312939,0.734699267,0.539783012,290.6577
269,61050,0.593084169,0.351748832,36.09876697,1303.120976,0.7343005,0.539197224,298.56265
270,61080,0.593485592,0.352225148,35.8664341,1286.401095,0.734048108,0.538826624,296.38905
271,61110,0.592675523,0.351264276,35.67832256,1272.942701,0.734173092,0.539010129,289.5984
272,61140,0.594906269,0.353913469,35.7669914,1279.277674,0.735760862,0.541344045,293.16255
273,61170,0.595627431,0.354772036,36.28009808,1316.245517,0.736235623,0.542042893,295.92165
274,61200,0.596109408,0.355346427,36.41545222,1326.08516,0.738139367,0.544849725,306.567
275,61230,0.598843777,0.358613869,36.3875324,1324.052514,0.739278877,0.546533258,294.29155
276,61260,0.598451946,0.358144732,36.35840852,1321.93387,0.7393618,0.546655871,299.0941
277,61290,0.597973592,0.357572417,36.31865838,1319.044946,0.738447154,0.545304199,300.4576
278,61320,0.598697138,0.358438264,36.28399587,1316.528356,0.737364223,0.543705997,303.80935
279,61350,0.595768258,0.354939818,36.07618708,1301.491275,0.73601695,0.541720951,301.0845
280,61380,0.594570333,0.353513881,35.85348716,1285.472542,0.733713567,0.538335598,289.7558
281,61410,0.594711569,0.353681851,35.49496289,1259.89239,0.7325385,0.536612654,297.74865
282,61440,0.593927908,0.35275036,35.33922744,1248.860996,0.7312248,0.534689708,285.58555
283,61470,0.594115415,0.352973127,36.24559609,1313.743236,0.729729615,0.532505312,302.5711
284,61500,0.599480785,0.359377211,36.67241365,1344.865923,0.729187546,0.531714477,303.9032
285,61530,0.599515642,0.359419005,36.66765052,1344.516595,0.729835983,0.532660563,297.2713
286,61560,0.5993029,0.359163966,36.62036487,1341.051123,0.729024077,0.531476105,303.27125
287,61590,0.597959169,0.357555168,36.57373438,1337.638047,0.728370231,0.530523193,299.39865
288,61620,0.597488015,0.356991929,36.54400205,1335.464086,0.726759638,0.528179572,304.2527
289,61650,0.597824562,0.357394206,36.52471882,1334.055085,0.726510854,0.527818021,299.09275
290,61680,0.595958342,0.355166345,36.43686396,1327.645055,0.7256133,0.526514661,303.5637
291,61710,0.596038492,0.355261884,36.06376286,1300.594992,0.724744031,0.52525391,296.7454
292,61740,0.595254831,0.354328314,35.7011354,1274.571069,0.724417092,0.524780124,297.54465
293,61770,0.594483185,0.353410257,35.54959826,1263.773937,0.724232008,0.524512001,292.1186
294,61800,0.595497417,0.354617173,35.98966821,1295.256218,0.723559917,0.523538953,290.50615
295,61830,0.598610608,0.35833466,36.62616857,1341.476224,0.724098585,0.52431876,287.6975
296,61860,0.601760425,0.362115609,36.77145492,1352.139897,0.72551045,0.526365413,289.57705
297,61890,0.601574546,0.361891935,36.75514515,1350.940695,0.725985631,0.527055136,284.82785
298,61920,0.6012284,0.361475589,36.72658428,1348.841993,0.725614215,0.52651599,280.8811
299,61950,0.601363008,0.361637467,36.71417459,1347.930616,0.725163523,0.525862135,278.10535
300,61980,0.602028854,0.362438741,36.69660075,1346.640507,0.723937546,0.524085571,282.03735
301,62010,0.600632246,0.360759095,36.68135862,1345.52207,0.721655069,0.520786039,275.2213
302,62040,0.598997408,0.358797895,36.49570457,1331.936452,0.720316433,0.518855764,271.11745
