TheTime,C2H6,CH4,H2O,CH3OH,CH4_A
3558729632,0.3735839,74.11274,202325.1,-2.911029,73.39864
3558729633,0.3733168,74.58479,304122.7,1.605595,74.59861
3558729634,0.3127431,85.19834,232038.4,1.095557,85.19119
3558729635,0.3469834,69.10681,305591.4,1.899729,69.1124
3558729636,0.3314071,89.03804,1019812,1.338336,89.1156
3558729637,0.4554555,103.5828,2821063,5.114163,103.8098
3558729638,0.4659191,90.12895,4585197,9.218742,90.32799
3558729639,0.3298202,65.76104,5539878,9.40258,65.83844
3558729640,0.6141821,154.8283,6233964,10.7955,154.9618
3558729641,1.51769,586.3489,6693405,11.10718,586.6977
3558729642,2.941808,1287.047,7086691,14.46022,1287.7
3558729643,4.22393,1741.734,7332571,11.56496,1742.195
3558729644,4.807369,1927.141,7525816,11.80275,1927.63
3558729645,4.784659,1979.7,7655602,13.24266,1980.007
3558729652,3.748326,1978.503,8149927,8.820729,1979.721
3558729653,3.63055,2001.304,8170180,12.40387,2001.358
3558729654,3.467184,1949.623,8200570,11.29172,1949.69
3558729655,3.465315,1977.764,8245630,11.94282,1977.882
3558729656,3.461909,1947.846,8279039,15.12406,1947.921
3558729657,3.141287,1993.578,8289273,8.676529,1993.611
3558729658,3.050886,1993.578,8314357,9.199214,1988.847
3558729659,3.056591,1967.199,8299403,8.258382,1967.16
3558729660,2.954509,1967.199,8385513,16.82442,1966.122
3558729661,2.86681,1990.759,8339132,9.065819,1990.645
3558729662,2.931327,1990.759,8343291,12.34761,1980.263
3558729663,2.86532,1959.745,8353897,16.25382,1959.769
3558729664,2.874565,1959.745,8419379,10.92161,1963.981
3558729665,2.876704,1963.981,8414268,13.98719,1970.089
3558729666,2.868088,1970.089,8435742,13.51643,1976.581
3558729667,2.97104,1976.581,8471661,15.04703,1986.792
3558729668,2.808064,1936.21,8392424,13.77074,1936.014
3558729669,2.981087,1985.259,8505767,12.69024,1985.55
3558729670,2.926427,1961.067,8504348,15.45115,1961.055
3558729671,2.896746,1961.067,8502254,15.43318,1949.344
3558729672,2.854795,1973.445,8444645,12.16968,1973.305
3558729673,2.787019,1973.445,8512112,14.65051,1991.022
3558729674,2.91271,1991.022,8545040,12.35157,1976.325
3558729675,3.010382,1976.325,8523994,15.93284,1966.951
3558729676,2.958651,1966.951,8555948,12.33754,1979.92
3558729677,2.94609,1979.92,8585630,10.91492,1969.502
3558729678,3.019873,1969.502,8539756,12.79841,1956.84
3558729679,3.049523,1956.84,8503355,15.56754,1959.854
3558729680,3.000686,1959.854,8484421,17.69264,1957.245
3558729681,3.031129,1978.259,8590917,13.98906,1978.524
3558729682,3.090943,1957.467,8563330,15.63816,1957.394
3558729683,3.068084,1957.467,8517191,14.85381,1962.744
3558729684,2.941522,2000.297,8541853,14.65908,2000.362
3558729685,3.046507,1960.509,8593738,10.95359,1960.629
3558729686,2.900142,1960.509,8587050,10.59122,1967.841
3558729687,2.99966,1940.126,8565767,12.87728,1940.071
3558729688,2.940328,1981.623,8589349,15.28536,1981.689
3558729689,2.99135,1957.127,8537214,16.35973,1956.992
3558729690,2.973342,1979.997,8582164,13.76051,1980.114
3558729691,2.902696,1979.997,8550948,16.22009,1981.454
3558729692,2.807797,1959.688,8561869,14.29989,1959.713
3558729693,2.865942,1959.688,8539262,15.68911,1948.382
3558729694,2.730248,1948.382,8630003,9.037159,1954.731
3558729695,2.72344,1954.731,8575869,16.36998,1946.183
3558729696,2.630112,1966.834,8602017,11.28037,1966.9
3558729697,2.58971,1966.834,8617200,8.385502,1975.977
3558729698,2.638516,1975.977,8586204,14.72092,1956.719
3558729699,2.708009,1983.039,8594571,13.79419,1983.061
3558729700,2.836113,1948.087,8612309,14.39032,1948.182
3558729701,2.959444,1993.337,8662010,10.41315,1993.41
3558729702,2.970888,1993.337,8600898,12.04092,1985.474
3558729703,3.053999,1985.474,8644237,14.80569,1989.087
3558729704,3.034383,1955.315,8591727,13.29149,1955.183
3558729705,2.994481,1975.389,8614498,18.38286,1975.451
3558729706,2.952902,1975.389,8613079,15.6423,1977.173
3558729707,2.954812,1950.448,8619476,13.71201,1950.461
3558729708,2.927047,1950.448,8621938,15.94063,1956.667
3558729709,2.989448,1956.667,8614034,15.37644,1972.132
